el almac‚n,department store
la caja,cash register
el centro comercial,shopping mal
el/la cliente/a,client
el/la dependiente/a,Clerk
el dinero,money
el mercado (al aire libre),(open-air) market
el precio (fijo),"(fixed,set) Price"
la rebaja,sale
la tarjeta de cr‚dito,credit card
la tienda,"shop, store"
el/la vendedor(a),salesperson
verbs,
costar (o:ue),to cost
gastar,to spend (money)
hacer juego (con),to match (with)
ir de compras,to go shopping
llevar,"to wear, to take"
pagar (con),to pay (with)
regatear,to bargain
usar,"to wear, to use"
vender,to sell
