vorstellen,to introduce oneself
begrüßen,to welcome
buchstabieren,to spell
verabschieden,to say goodbye
sprechen,to speak
fragen,to ask
heißen,to be called
kommen,to come
ergänzen,to complete
hören,to listen
sein,to be
machen,to make
mitlesen,to read along with
nachsprechen,to repeat (orally)
üben,to practice
ankreuzen,to tick
ordnen,to put in order
schreiben,to write
spielen,to act
lesen,to read
raten,to guess
wohnen,to live
zuordnen,to assign
kontrollieren,to control
liegen,to lie
sammeln,to collect
lernen,to learn
verstehen,to understand
haben,to have
fallen,to fall
steigen,to rise
antworten,to answer
