tener ? anos,to be?. Years old
tener (mucho) calor,to be (very) hot
tener (mucho) cuidado,to be (very) careful
tener (mucho) frio,to be (very) cold
tener ganas de (+ inf),to feel like (doing something)
tener (mucha) hambre,to be (very) hungry
tener (mucho) miedo,to be (very) afraid/scared
tener (mucha) prisa,to be in a (big) hurry
tener que (+ inf),to have to (do something)
tener raz¢n,to be right
no tener raz¢n,to be wrong
tener (mucha) sed,to be (very) thirsty
tener (mucho) sue¤o,to be (very) sleepy
tener (mucha) suerte,to be (very) lucky
