bucear,tos cuba dive
"escalar monta¤as (f, pl)",to climb mountains
una carta,letter
un mensaje electr¢nico,email
una (tarjeta) postal,postcard
esquiar,to ski
ganar,to win
ir de excursi¢n (a las monta¤as),to go for a hike (in the mountains)
leer el correo electr¢nico,read email
un peri¢dico,newspaper
una revista,magazine
nadar,to swim
pasar el tiempo,pass the time
pasear en bicicleta,to ride a bicycle
pasear por la ciudad/el pueblo,to walk around the city/town
patinar (en l¡nea),to skate (in-line)
practicar deportes (m. pl),to play sports
ser aficionado/a (a),to be a fan (of)
tomar el sol,to sunbathe
ver pel¡culas (f.pl),watch movies
visitar un monumento,visit a monument
la diversi¢n,entertainment/fun activity
el/la excursionista,hiker
el fin de semana,weekend
el pasatiempo,pasttime/body
los ratos libres,spare time
el tiempo libre,free time
